Artist,Album,Track,Duration
Sir Neville Marriner,Mozart: Eine kleine Nachtmusik etc.,Pavane Op. 50 (orchestral version),1:48
Raffaella carrà,Fiesta,Tanti Auguri - Com'è Bello Far L'Amore..,3:51
Sara Bareilles,The Hotel Café presents... Winter Songs,Winter Song,4:29
Esmée Denters,Outta Here,Outta Here,3:20
Babyshambles,Down in Albion,8 Dead Boys,4:16
Babyshambles,Down in Albion,Sticks and Stones,4:47
Babyshambles,Down in Albion,Pipedown,2:34
Babyshambles,Down in Albion,The 32nd of December,3:08
Babyshambles,Down in Albion,A'Rebours,3:23
Miranda!,Es Mentira,Horoscopo,4:35
Christina Aguilera,Christina Aguilera,Come on Over (All I Want Is You),3:23
Babyshambles,Down in Albion,Up the Morning,5:43
Babyshambles,Down in Albion,Loyalty Song,3:32
Babyshambles,Down in Albion,Back From the Dead,2:52
Babyshambles,Down in Albion,Albion,5:24
Babyshambles,Down in Albion,In Love With a Feeling,2:51
Sara Bareilles,Kaleidoscope Heart,Uncharted,3:34
Raffaella carrà,Fiesta,E salutala per me,4:35
Raffaella carrà,Grandes Exitos,Mamá Dame Cien Pesetas,3:29
Babyshambles,The La's,There She Goes,3:36
Marineros,Cae la noche,Cae la noche,4:25
Christina Aguilera,Christina Aguilera,When You Put Your Hands on Me,3:35
Christina Aguilera,Christina Aguilera,Blessed,3:05
Fother Muckers,Justo y Necesario,2022,4:11
Alex & Daniel,Alex & Daniel,Japón,3:44
Christina Aguilera,Mi Reflejo,Si No Te Hubiera Conocido,4:51
Justin Timberlake,Matucana - EP,Señorita,4:54
The Veronicas,Untouched - Lost Tracks EP,Untouched - Unplugged,3:39
Teleradio Donoso,bailar y llorar,éramos todos felices,4:13
Kate Nash,OMYGOD!,Honesty Policy,2:39
Kate Nash,Girl Talk,Fri-End?,3:32
Pedropiedra,Pedropiedra,sol mayor,3:47
Gwen Stefani,Love Angel Music Baby,Harajuku Girls,4:51
Gloria Gaynor,Can't Take My Eyes Off of You,Can'T Take My Eyes Off Of You - Extended Version,5:48
Gwen Stefani,Love Angel Music Baby,Cool,3:09
Kali Mutsa,Souvenance,Oh Bebe,0:49
Kali Mutsa,Souvenance,Intermedio Final,1:19
Namuel,Noche Polar,Él Me da Vida,3:40
Sara Bareilles,The Blessed Unrest,Little Black Dress,3:32
Lady Gaga,ARTPOP,Applause,3:32
Hear'Say,Popstars,Pure & Simple,3:46
Scissor Sisters,Magic Hour,Only the Horses,7:10
Blondie,Panic of Girls,Sunday Smile,4:49
Blondie,Blondie 4(0)-Ever: Greatest Hits Deluxe Redux / Ghosts Of Download,A Rose by Any Name (feat. Beth Ditto),3:34
Blondie,Blondie 4(0)-Ever: Greatest Hits Deluxe Redux / Ghosts Of Download,Backroom,4:06
Blondie,Atomic/Atomix,Call Me,3:30
The Veronicas,Revenge Is Sweeter Tour,Take Me On The Floor - Live,4:37
The Veronicas,Hook Me Up,I Can't Stay Away,3:26
The Veronicas,Hook Me Up,Take Me on the Floor,3:30
Marina & the Diamonds,Primadonna,Primadonna,3:41
Goldfrapp,Rocket,Rocket,3:51
Miranda!,El Disco De Tu Corazón,Prisionero,3:28
Cheryl,3 Words,Parachute,3:31
Avril Lavigne,Goodbye Lullaby,What the Hell,3:40
The Saturdays,Headlines,Ego,2:59
Katy Perry,PRISM (Deluxe),Birthday,3:35
Loreen,G-A-Y,Euphoria,3:01
Alexis Jordan,Abduction - Original Motion Picture Soundtrack,Good Girl,3:57
Mika,Popular Song,Popular Song,3:20
A.R. Rahman,Jai Ho! (You Are My Destiny),Jai Ho! (You Are My Destiny),3:43
Alphabeat,This Is Alphabeat,Fascination,3:01
Arkells,Michigan Left,Where U Goin,3:46
Goldfrapp,Ooh La La (from The Smurfs 2),Ooh La La,3:24
Holly Valance,Kiss Kiss,Kiss Kiss,3:26
Tila Tequila,Donker Mag,Sex,3:41
Tila Tequila,I Paralyze,Paralyze,3:58
The Police,The Very Best Of Sting And The Police,Don't Stand So Close to Me,4:03
A Fine Frenzy,Bomb in a Birdcage,Swan Song,3:43
A Fine Frenzy,Bomb in a Birdcage,Electric Twist,4:31
Sara Bareilles,Kaleidoscope Heart,Kaleidoscope Heart,1:01
Conrad Tao,Voyages,Five Preludes from Op.23 (1904) and Op.32 (1910): Op. 32 No.10 in B minor,5:29
Ludovico Einaudi,Divenire,Primavera,7:54
Kate Nash,Girl Talk,3AM,3:32
The Libertines,The Libertines,Music When the Lights Go Out,3:02
Nat King Cole,The Unforgettable Nat King Cole,L-O-V-E - 2000 Digital Remaster,2:33
Miranda!,Miranda es imposible!,Entre Mis Brazos,3:47
Miranda!,El Templo del Pop,Perfecta,3:45
Tommy Fleming,Going Back,Cant Take My Eyes Off You,4:08
The Turtles,Happy Together,Happy Together,2:54
Elisabeth Leonskaja,Chopin Masterworks Volume 1,Chopin : Nocturne No.2 in E flat major Op.9 No.2,5:09
Lana Del Rey,Born to Die - The Paradise Edition,Ride,5:56
Alejandro Sanz,Coleccion definitiva (Deluxe),El alma al aire,5:52
Elisabeth Leonskaja,Chopin Masterworks Volume 1,Chopin : Nocturne No.3 in B major Op.9 No.3,7:16
Cobra Starship,¡Viva La Cobra!,Guilty Pleasure,3:23
Bon Jovi,blink-182,Always,5:52
Robbie Williams,Escapology,Something Beautiful,4:48
Robbie Williams,Feel,Feel,4:22
Miley Cyrus,Bangerz (Deluxe Version),Adore You,4:38
Lykke Li,No One Ever Loved,No One Ever Loved,4:05
Nicki Minaj,Pink Friday ... Roman Reloaded (Explicit Deluxe Version),Young Forever,3:06
Nicki Minaj,Pink Friday ... Roman Reloaded (Explicit Deluxe Version),Va Va Voom,3:02
Nicki Minaj,Pink Friday ... Roman Reloaded,Masquerade,3:49
Nicki Minaj,Pink Friday,Moment 4 Life,4:39
Iggy Azalea,Ignorant Art,Treasure Island,3:18
Boys Like Girls,Boys Like Girls,Dance Hall Drug,3:30
Owl City,All Things Bright and Beautiful,Deer in the Headlights,3:01
Owl City,Maybe I'm Dreaming,Rainbow Veins,4:41
Boys Like Girls,Boys Like Girls,Thunder,4:34
Owl City,All Things Bright and Beautiful,Honey And The Bee,3:45
The 5 Browns,Browns In Blue,18th Variation from Rhapsody on a Theme of Paganini,3:09
Conrad Tao,Voyages,Five Preludes from Op.23 (1904) and Op.32 (1910): Op. 32 No.5 in G major,3:25
Thomas Newman,Meet Joe Black (Soundtrack),Whisper Of A Thrill,5:42
Ayako Uehara,Tchaikovsky: Grande Sonate etc.,Grande Sonate Op.37: I Moderato e risoluto,12:15
Max Richter,Blue Notebooks,Horizon Variations,1:52
John Williams,Memoirs Of A Geisha,The Fire Scene and the Coming of War,6:48
Dario Marianelli,Jane Eyre - Original Motion Picture Soundtrack,My Edward and I,3:54
Dario Marianelli,Jane Eyre - Original Motion Picture Soundtrack,A Game of Badminton,0:58
Conrad Tao,Voyages,Five Preludes from Op.23 (1904) and Op.32 (1910): Op. 23 No.2 in B flat major,3:29
Philip Glass,The Hours (Music from the Motion Picture Soundtrack),The Poet Acts,3:40
Ayako Uehara,Tchaikovsky: Grande Sonate etc.,Grande Sonate Op.37: IV Finale. Allegro vivace,7:03
Maurice Ravel,Maurice Ravel Plays Ravel (Digitally Remastered),Pavane Pour Une Infante Defunte (Pavane For A Dead Princess),5:40
Philip Glass,The Hours (Music from the Motion Picture Soundtrack),Escape!,3:48
Berliner Philharmoniker,Strauss R.: Tod und Verklärung; Metamorphosen; Four Last Songs,R. Strauss: Metamorphosen for 23 Solo Strings,26:11
Ludovico Einaudi,Divenire,Andare,7:06
Boards of Canada,Hi Scores,Everything You Do Is a Balloon,7:02
Sigur Rós,ágætis byrjun,Starálfur,6:47
Ólafur Arnalds,...and they have escaped the weight of darkness,Þau hafa sloppið undan þunga myrkursins,4:01
Anne Queffélec,Satie: Gymnopedies - Gnossiennes - Piano Works,Trois Gymnopedies: No. 2,2:53
Miguel Bosé,Colección Definitiva,Como Un Lobo,3:58
La Prohibida,Flash,Flash,3:03
Lana Del Rey,Paradise,Gods & Monsters,3:57
Lana Del Rey,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] (Cedric Gervais Remix),Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,6:52
Franz Liszt,A Calendar Of Classics - A 12 CD Set Of Romantic Classics For Every Month Of The Year,Liebestraum,4:07
Franz Liszt,Classical Piano Chillout 2,Consolation No. 3,4:05
Robbie Williams,Swings Both Ways (Deluxe),Dream A Little Dream,3:33
Boys Like Girls,Love Drunk,She's Got A Boyfriend Now,4:06
Lana Del Rey,Born to Die - The Paradise Edition,Dark Paradise,4:03
Lana Del Rey,Ultraviolence,Money Power Glory,4:31
The Vaccines,What Did You Expect from The Vaccines?,Post Break-Up Sex,2:53
The Last Shadow Puppets,The Age of the Understatement,Standing Next to Me,2:18
Albert Hammond Jr.,Going The Distance,In Transit,3:47
The Libertines,The Libertines,The Saga,1:53
Boys Like Girls,Love Drunk,Two Is Better Than One,4:04
Miranda!,Exitos Inolvidables del Pop Vol. 2,Mentia,3:34
Portugal,Viajes de memoria,Santiago,3:59
Portugal,Viajes de memoria,Viajes de Memoria,3:19
Tila Tequila,I Love U (Don Diablo Remixes) - EP,I Love U (Dirty Version),3:32
Portugal,Kaipaan Sinua,Dulce,5:44
Good Shoes,Think Before You Speak,We Are Not the Same,2:44
Portugal,Viajes de memoria,Uhu,4:11
Lorde,No Better - Single,No Better,2:50
Danna Paola,Danna Paola,Agüita,3:39
Vampire Weekend,Modern Vampires of the City,Diane Young,2:40
blink-182,The Mark Tom And Travis Show (The Enema Strikes Back),Man Overboard,2:46
The Libertines,Up the Bracket,Horrorshow,2:34
The Libertines,Time For Heroes: Best Of The Libertines,Don't Look Back into the Sun,3:00
Miranda!,Magistral,No Pero No,3:23
You Love Her Coz She's Dead,Kitsuné Maison Compilation 6,Superheroes,2:45
The Libertines,Baby Shambles Sessions,The Good Old Days,2:59
Good Shoes,Think Before You Speak,Never Meant to Hurt You,3:31
One Direction,Take Me Home: Yearbook Edition,Last First Kiss,3:25
Good Shoes,Think Before You Speak,All in My Head,2:32
Paris Hilton,Good Time (feat. Lil Wayne) - Single,Good Time (feat. Lil Wayne),3:36
Good Shoes,Think Before You Speak,The Photos On My Wall,1:52
Yellowcard,Ocean Avenue Acoustic,Ocean Avenue Acoustic,3:39
Kate Nash,Girl Talk,All Talk,3:25
Crystal Fighters,Kitsuné Maison Compilation 8,I Love London,2:48
Echosmith,Cool Kids - Single,Cool Kids,3:58
Rooney,Eureka (Deluxe Edition),I Can't Get Enough,3:05
Peter Doherty,Grace/Wastelands,Last of the English Roses,4:57
Kate Nash,Made of Bricks,Shit Song,3:05
Robyn,Robyn,With Every Heartbeat,4:13
Rooney,Calling The World,Love Me Or Leave Me,3:13
Kate Nash,Girl Talk,Death Proof,2:23
Three Days Grace,Life Starts Now,Lost In You,3:53
Josh Rouse,Subtitulo,Quiet Town,2:32
Rooney,Eureka (Deluxe Edition),You're What I'm Looking For,3:37
They Might Be Giants,Istanbul (Not Constantinople) (EP),Istanbul (Not Constantinople),6:18
The Libertines,Baby Shambles Sessions,The Last Post on the Bugle,2:05
The Libertines,The French Sessions,Narcissist,2:28
Peter Doherty,Grace/Wastelands,I Am the Rain,3:13
Vampire Weekend,Oxford Comma,Bryn,2:12
Gepe,Las Piedras EP,Las piedras,4:08
The Libertines,Baby Shambles Sessions,Don't Look Back Into the Sun 1,2:59
TV on the Radio,Dear Science (Deluxe Edition),Lover's Day,5:54
Lana Del Rey,Born to Die,Summertime Sadness (Cedric Gervais Remix),3:35
TV on the Radio,Dear Science (Deluxe Edition),Halfway Home,5:32
The Rolling Stones,Sweet Summer Sun Live in Hyde Park 2013 (Live) - Single,Tumbling Dice (Live),4:05
Good Shoes,Think Before You Speak,Morden,2:29
The Libertines,Legs 11,France (demo),2:30
Babyshambles,Shotter's Nation,Delivery,2:42
Rooney,Eureka (Deluxe Edition),Go On,3:20
Three Days Grace,Life Starts Now,Last To Know,3:27
311,From Chaos,Amber,3:30
Lorde,Pure Heroine,White Teeth Teens,3:38
The Libertines,Baby Shambles Sessions,France 1,3:12
The Libertines,Baby Shambles Sessions,Don't Look Back Into the Sun 2,2:36
Miranda!,Luna Magistral,Tu Misterioso Alguien,4:04
Start Trouble,Every Solution Has It's Proble,Let's Get Fucked Up,2:36
blink-182,blink-182,Obvious,2:43
blink-182,Dude Ranch,Dammit,2:45
Silverstein,A Shipwreck in the Sand,Broken Stars,3:43
TV on the Radio,Dear Science (Deluxe Edition),Dancing Choose (Prefuse 73 Remix),3:49
Nouvelle Vague,Best Of,In a Manner of Speaking,3:58
Green Day,Dookie,She,2:14
The Libertines,The Libertines,Campaign of Hate,2:10
The Libertines,Up the Bracket,Vertigo,2:38
The Libertines,Legs 11,Music When the Lights Go Out (demo),3:12
Los Prisioneros,Pateando Piedras,Por Qué No Se Van,2:59
TV on the Radio,Dear Science (Deluxe Edition),Make Love All Night Long,3:32
Marina & the Diamonds,Starstrukk (Katy Perry / 3OH3 Cover),Starstrukk (Live In Norwich),5:04
Vampire Weekend,Modern Vampires of the City,Young Lion,1:45
Los Prisioneros,La Voz De Los '80,Nunca Quedas Mal Con Nadie,4:13
CHVRCHES,The Bones of What You Believe (Special Edition),By the Throat,4:09
One Direction,Up All Night (Yearbook Edition),Gotta Be You,4:04
Vampire Weekend,Oxford Comma,One (Blake's Got a New Face),3:11
The Libertines,Baby Shambles Sessions,In Love With a Feeling 1,1:57
Los Prisioneros,La Voz De Los '80,Sexo,4:34
Pedropiedra,Pedropiedra,Cuarto Oscuro,4:02
The Libertines,Time for Heroes : The Best of The Libertines,I Get Along,2:51
The Libertines,Legs 11,Bucket Shop (demo),2:54
The Libertines,Baby Shambles Sessions,France 2,2:15
The Libertines,Legs 11,7 Deadly Frenchmen (demo),1:02
The Libertines,The Libertines,Road to Ruin,4:22
Rooney,Calling The World,Tell Me Soon,3:20
Green Day,Dookie,Basket Case,3:01
The Libertines,Legs 11,Anything but Love (demo),3:29
Vampire Weekend,Oxford Comma,Mansard Roof,2:07
The Libertines,Baby Shambles Sessions,France 3,2:14
One Direction,Take Me Home: Yearbook Edition,Still the One,3:03
The Libertines,Baby Shambles Sessions,Babyshambles 1,2:36
Pedropiedra,Pedropiedra,Mi Mamá,1:39
The Libertines,The Sailor Sessions,ha ha wall,6:23
The Libertines,Chicken Shack Sessions,Bucket Shop,3:04
Peter Doherty,Grace/Wastelands,Palace of Bone,4:23
Vampire Weekend,Oxford Comma,The Kids Don't Stand a Chance,4:03
The Libertines,Legs 11,Love on the Dole (demo),3:23
Babyshambles,Shotter's Nation,Baddie's Boogie,3:55
Green Day,Dookie,F.O.D.,4:08
blink-182,Dude Ranch,Josie,3:20
Rooney,Eureka (Deluxe Edition),Don't Look at Me,3:59
Green Day,Dookie,When I Come Around,2:58
Rihanna,Rihanna The Greatest Hits,You Da One,3:20
Babyshambles,Shotter's Nation,Unstookie Titled,4:30
The Libertines,The Libertines,Arbeit Macht Frei,1:18
Good Shoes,Think Before You Speak,Ice Age,2:54
TV on the Radio,Dear Science (Deluxe Edition),Crying (Telepathe Remix),4:29
One Direction,Up All Night (Yearbook Edition),I Wish,3:36
Los Prisioneros,La Voz De Los '80,Paramar,3:46
Gepe,Audiovisión,Estado de Vista,2:41
Rihanna,Rihanna The Greatest Hits,Shut Up and Drive,3:33
Green Day,Dookie,Welcome to Paradise,3:44
Rooney,Eureka (Deluxe Edition),I Don't Wanna Lose You (Acoustic),3:15
Green Day,Dookie,Emenius Sleepus,1:43
Julieta Venegas,Sí,Lo Que Pidas,3:16
Silverstein,Dreaming Out Loud (International Version),Apologize,2:55
Green Day,21st Century Breakdown,Last Of The American Girls (Album Version),3:51
Gepe,GP,Campos Magnéticos,3:37
Los Prisioneros,Pateando Piedras,Quieren Dinero,5:15
Babyshambles,Shotter's Nation,Crumb Begging Baghead,3:44
Julieta Venegas,Limón y Sal,De Que Me Sirve,2:37
Owl City,All Things Bright and Beautiful,Galaxies,4:03
The Libertines,Legs 11,Sister Sister (demo),3:01
Julieta Venegas,Sí,Mala Memoria,3:06
TV on the Radio,Dear Science (Deluxe Edition),Family Tree,5:34
Julieta Venegas,Otra Cosa (Deluxe Version),Ya Conocerán,3:16
Babyshambles,Shotter's Nation,Deft Left Hand,4:04
The Libertines,Baby Shambles Sessions,Untitled,2:24
Peter Doherty,Grace/Wastelands,Salome,3:13
Boys Like Girls,Boys Like Girls,Five Minutes To Midnight,3:47
One Direction,Up All Night (Yearbook Edition),I Want,2:53
Gepe,Audiovisión,Budapest,3:06
Babyshambles,Shotter's Nation,Side Of The Road,2:10
The Libertines,Baby Shambles Sessions,Albion 2,3:56
The Libertines,Baby Shambles Sessions,I Love You (But You're Green),2:14
The Libertines,Up the Bracket,Radio America,3:44
blink-182,Greatest Hits,Another Girl Another Planet,2:41
Gepe,GP,Libre,3:28
La Ley,Historias E Histeria,El Duelo,3:14
The Only Ones,Greatest Hits,Another Girl Another Planet,3:00
Odisea,Odisea Odiseo,Nuestra casa de violencia,7:01
Justin Timberlake,The 20/20 Experience,Dress On,4:39
Julieta Venegas,Limón y Sal,No Sere,2:58
Dënver,Música Gramática Gimnasia,Feedback,5:19
Los Prisioneros,Manzana,Insatisfacción,4:15
Teleradio Donoso,Gran Santiago,En un momento,3:29
They Might Be Giants,Istanbul (Not Constantinople) (EP),Istanbul (Not Constantinople) (Brownsville mix),5:13
Foster the People,SaG's Indie Electro Rock Playlist September 2010,Pumped Up Kicks,3:09
Miranda!,Luna Magistral,A la Distancia,3:34
Good Shoes,Think Before You Speak,Wait,2:52
Los Prisioneros,La Cultura De La Basura,Cuando Te Vayas,4:50
Alex & Daniel,Alex & Daniel,Segunda,3:19
Julieta Venegas,Otra Cosa,Un Lugar,3:07
Julieta Venegas,Otra Cosa,Bien o Mal,2:59
Sam Isaac,The Inbetweeners,Fire Fire,3:39
Peter Doherty,Grace/Wastelands,A Little Death Around the Eyes,3:31
Peter Doherty,Grace/Wastelands,1939 Returning,3:12
Gepe,Audiovision,Amigos Vecinos,1:48
Julieta Venegas,Otra Cosa,Otra Cosa,2:41
Justin Timberlake,The 20/20 Experience,Suit & Tie,5:26
Radiohead,The Bends,Fake Plastic Trees,4:50
Miranda!,Luna Magistral,Cada Vez Que Decimos Adiós,3:19
Gepe,Hungría,Gracia,2:40
Jack Peñate,The Inbetweeners,Second Minute or Hour,3:05
The Libertines,Baby Shambles Sessions,The Road to Ruin 2,2:14
Teleradio Donoso,bailar y llorar,Sed de Mal,5:01
Julieta Venegas,Los Momentos,Nada Importante,3:23
Julieta Venegas,Otra Cosa,Revolución,3:25
Alex & Daniel,Alex & Daniel,Baby,3:37
Teleradio Donoso,Gran Santiago,Un día fui a pasear y no volví,3:25
Teleradio Donoso,Gran Santiago,La carta,3:35
Julieta Venegas,Limón y Sal,Mirame Bien,3:37
Julieta Venegas,Si,Donde Quiero Estar,3:05
Two Door Cinema Club,Tourist History,You're Not Stubborn,3:10
Los Prisioneros,Pateando Piedras,Por Favor,3:10
Teleradio Donoso,Gran Santiago,Gran Santiago,5:45
Odisea,Odisea Odiseo,Una nueva vida (vida maquinal),5:45
Dënver,Música Gramática Gimnasia,Segundas destrezas,1:11
The Libertines,Baby Shambles Sessions,Albion Intro,1:31
Marina & the Diamonds,The Family Jewels,Numb,4:14
Justin Timberlake,The 20/20 Experience,Let the Groove Get In,7:11
